STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
7,PANGASCASAN SIP (SIP CY 2026),SUAL,"15,000,000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
2,SRIP CY 2025,,"100,000,000.00","78,423,375.86",0,5,,0,,,0,,,,,,,,,,,,,,
1,BAYAOAS SRIP- CONSTRUCTION OF IRRIGATION FACILITIES AND OTHER APPURTENANT STRUCTURES),AGUILAR,"50,000,000.00",,,,,,,,,,,,,,,,,,,,,,
,PACKAGE 1,,,"9,644,099.89",,1,14-Apr-26,,,R1-PIMO-26-03-039,,,"For Posting (PhilGeps)
- March 24, 2026",Embankment Protection - Right Main Canal,,,,,,,,,,,
,PACKAGE 2,,,"8,101,445.01",,1,14-Apr-26,,,R1-PIMO-26-03-040,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Lining - Right Main Canal, Canal Structures - Right Main Canal, Service Road - Right Main Canal",,,,,,,,,,,
,PACKAGE 3,,,"6,716,512.68",,1,14-Apr-26,,,R1-PIMO-26-03-041,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Linings - Lateral C (Left MC), Canal Structures - Lateral C (MC)",,,,,,,,,,,
,PACKAGE 4,,,"7,728,316.69",,1,14-Apr-26,,,R1-PIMO-26-03-042,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Linings - Lateral B (Right MC), Canal Structures - Lateral B (Right MC)",,,,,,,,,,,
,PACKAGE 5,,,"7,859,357.39",,1,14-Apr-26,,,R1-PIMO-26-03-043,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Linings - Lateral B (Right MC), Canal Structures - Lateral B (Right MC)",,,,,,,,,,,
2,"DUMOLOC SMALL RESERVOIR IRRIGATION PROJECTS
Continuation for Contruction of Dam",Bugallon,"50,000,000.00","38,373,644.20",,,,,,,,,Under Multi-Year Funding of SRIP,Construction of High Dam,,,,,,,,,,,
35,Establishment of Groundwater Powered Irrigation Pump,,"450,000,000.00",0,0,0,,0,,,0,,,,,,,,,,,,,,
1,Alilao SPIP,DASOL,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
2,Viga SPIP,DASOL,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
3,Allabon SPIP,AGNO,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
4,Mabalacat SPIP,MANGATAREM,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
